date,fips,cases,deaths
1/21/2020,53061,1,0
1/22/2020,53061,1,0
1/23/2020,53061,1,0
1/24/2020,17031,1,0
1/24/2020,53061,1,0
1/25/2020,6059,1,0
1/25/2020,17031,1,0
1/25/2020,53061,1,0
1/26/2020,4013,1,0
1/26/2020,6037,1,0
1/26/2020,6059,1,0
1/26/2020,17031,1,0
1/26/2020,53061,1,0
1/27/2020,4013,1,0
1/27/2020,6037,1,0
1/27/2020,6059,1,0
1/27/2020,17031,1,0
1/27/2020,53061,1,0
1/28/2020,4013,1,0
1/28/2020,6037,1,0
1/28/2020,6059,1,0
1/28/2020,17031,1,0
1/28/2020,53061,1,0
1/29/2020,4013,1,0
1/29/2020,6037,1,0
1/29/2020,6059,1,0
1/29/2020,17031,1,0
1/29/2020,53061,1,0
1/30/2020,4013,1,0
1/30/2020,6037,1,0
1/30/2020,6059,1,0
1/30/2020,17031,2,0
1/30/2020,53061,1,0
1/31/2020,4013,1,0
1/31/2020,6037,1,0
1/31/2020,6059,1,0
1/31/2020,6085,1,0
1/31/2020,17031,2,0
1/31/2020,53061,1,0
2/1/2020,4013,1,0
2/1/2020,6037,1,0
2/1/2020,6059,1,0
2/1/2020,6085,1,0
2/1/2020,17031,2,0
2/1/2020,25025,1,0
2/1/2020,53061,1,0
2/2/2020,4013,1,0
2/2/2020,6037,1,0
2/2/2020,6059,1,0
2/2/2020,6075,2,0
2/2/2020,6085,2,0
2/2/2020,17031,2,0
2/2/2020,25025,1,0
2/2/2020,53061,1,0
2/3/2020,4013,1,0
2/3/2020,6037,1,0
2/3/2020,6059,1,0
2/3/2020,6075,2,0
2/3/2020,6085,2,0
2/3/2020,17031,2,0
2/3/2020,25025,1,0
2/3/2020,53061,1,0
2/4/2020,4013,1,0
2/4/2020,6037,1,0
2/4/2020,6059,1,0
2/4/2020,6075,2,0
2/4/2020,6085,2,0
2/4/2020,17031,2,0
2/4/2020,25025,1,0
2/4/2020,53061,1,0
2/5/2020,4013,1,0
2/5/2020,6037,1,0
2/5/2020,6059,1,0
2/5/2020,6075,2,0
2/5/2020,6085,2,0
2/5/2020,17031,2,0
2/5/2020,25025,1,0
2/5/2020,53061,1,0
2/5/2020,55025,1,0
2/6/2020,4013,1,0
2/6/2020,6037,1,0
2/6/2020,6059,1,0
2/6/2020,6075,2,0
2/6/2020,6085,2,0
2/6/2020,17031,2,0
2/6/2020,25025,1,0
2/6/2020,53061,1,0
2/6/2020,55025,1,0
2/7/2020,4013,1,0
2/7/2020,6037,1,0
2/7/2020,6059,1,0
2/7/2020,6075,2,0
2/7/2020,6085,2,0
2/7/2020,17031,2,0
2/7/2020,25025,1,0
2/7/2020,53061,1,0
2/7/2020,55025,1,0
2/8/2020,4013,1,0
2/8/2020,6037,1,0
2/8/2020,6059,1,0
2/8/2020,6075,2,0
2/8/2020,6085,2,0
2/8/2020,17031,2,0
2/8/2020,25025,1,0
2/8/2020,53061,1,0
2/8/2020,55025,1,0
2/9/2020,4013,1,0
2/9/2020,6037,1,0
2/9/2020,6059,1,0
2/9/2020,6075,2,0
2/9/2020,6085,2,0
2/9/2020,17031,2,0
2/9/2020,25025,1,0
2/9/2020,53061,1,0
2/9/2020,55025,1,0
2/10/2020,4013,1,0
2/10/2020,6037,1,0
2/10/2020,6059,1,0
2/10/2020,6073,1,0
2/10/2020,6075,2,0
2/10/2020,6085,2,0
2/10/2020,17031,2,0
2/10/2020,25025,1,0
2/10/2020,53061,1,0
2/10/2020,55025,1,0
2/11/2020,4013,1,0
2/11/2020,6037,1,0
2/11/2020,6059,1,0
2/11/2020,6073,1,0
2/11/2020,6075,2,0
2/11/2020,6085,2,0
2/11/2020,17031,2,0
2/11/2020,25025,1,0
2/11/2020,53061,1,0
2/11/2020,55025,1,0
2/12/2020,4013,1,0
2/12/2020,6037,1,0
2/12/2020,6059,1,0
2/12/2020,6073,1,0
2/12/2020,6075,2,0
2/12/2020,6085,2,0
2/12/2020,17031,2,0
2/12/2020,25025,1,0
2/12/2020,48029,1,0
2/12/2020,53061,1,0
2/12/2020,55025,1,0
2/13/2020,4013,1,0
2/13/2020,6037,1,0
2/13/2020,6059,1,0
2/13/2020,6073,1,0
2/13/2020,6075,2,0
2/13/2020,6085,2,0
2/13/2020,17031,2,0
2/13/2020,25025,1,0
2/13/2020,48029,2,0
2/13/2020,53061,1,0
2/13/2020,55025,1,0
2/14/2020,4013,1,0
2/14/2020,6037,1,0
2/14/2020,6059,1,0
2/14/2020,6073,1,0
2/14/2020,6075,2,0
2/14/2020,6085,2,0
2/14/2020,17031,2,0
2/14/2020,25025,1,0
2/14/2020,48029,2,0
2/14/2020,53061,1,0
2/14/2020,55025,1,0
2/15/2020,4013,1,0
2/15/2020,6037,1,0
2/15/2020,6059,1,0
2/15/2020,6073,1,0
2/15/2020,6075,2,0
2/15/2020,6085,2,0
2/15/2020,17031,2,0
2/15/2020,25025,1,0
2/15/2020,48029,2,0
2/15/2020,53061,1,0
2/15/2020,55025,1,0
2/16/2020,4013,1,0
2/16/2020,6037,1,0
2/16/2020,6059,1,0
2/16/2020,6073,1,0
2/16/2020,6075,2,0
2/16/2020,6085,2,0
2/16/2020,17031,2,0
2/16/2020,25025,1,0
2/16/2020,48029,2,0
2/16/2020,53061,1,0
2/16/2020,55025,1,0
2/17/2020,4013,1,0
2/17/2020,6037,1,0
2/17/2020,6059,1,0
2/17/2020,6073,1,0
2/17/2020,6075,2,0
2/17/2020,6085,2,0
2/17/2020,17031,2,0
2/17/2020,25025,1,0
2/17/2020,31055,10,0
2/17/2020,48029,2,0
2/17/2020,53061,1,0
2/17/2020,55025,1,0
2/18/2020,4013,1,0
2/18/2020,6037,1,0
2/18/2020,6059,1,0
2/18/2020,6073,1,0
2/18/2020,6075,2,0
2/18/2020,6085,2,0
2/18/2020,17031,2,0
2/18/2020,25025,1,0
2/18/2020,31055,10,0
2/18/2020,48029,2,0
2/18/2020,53061,1,0
2/18/2020,55025,1,0
2/19/2020,4013,1,0
2/19/2020,6037,1,0
2/19/2020,6059,1,0
2/19/2020,6073,1,0
2/19/2020,6075,2,0
2/19/2020,6085,2,0
2/19/2020,17031,2,0
2/19/2020,25025,1,0
2/19/2020,31055,10,0
2/19/2020,48029,2,0
2/19/2020,53061,1,0
2/19/2020,55025,1,0
2/20/2020,4013,1,0
2/20/2020,6023,1,0
2/20/2020,6037,1,0
2/20/2020,6059,1,0
2/20/2020,6073,1,0
2/20/2020,6075,2,0
2/20/2020,6085,2,0
2/20/2020,17031,2,0
2/20/2020,25025,1,0
2/20/2020,31055,11,0
2/20/2020,48029,2,0
2/20/2020,53061,1,0
2/20/2020,55025,1,0
2/21/2020,4013,1,0
2/21/2020,6023,1,0
2/21/2020,6037,1,0
2/21/2020,6059,1,0
2/21/2020,6067,1,0
2/21/2020,6073,1,0
2/21/2020,6075,2,0
2/21/2020,6085,2,0
2/21/2020,17031,2,0
2/21/2020,25025,1,0
2/21/2020,31055,11,0
2/21/2020,48029,4,0
2/21/2020,53061,1,0
2/21/2020,55025,1,0
2/22/2020,4013,1,0
2/22/2020,6023,1,0
2/22/2020,6037,1,0
2/22/2020,6059,1,0
2/22/2020,6067,1,0
2/22/2020,6073,1,0
2/22/2020,6075,2,0
2/22/2020,6085,2,0
2/22/2020,17031,2,0
2/22/2020,25025,1,0
2/22/2020,31055,11,0
2/22/2020,48029,4,0
2/22/2020,53061,1,0
2/22/2020,55025,1,0
2/23/2020,4013,1,0
2/23/2020,6023,1,0
2/23/2020,6037,1,0
2/23/2020,6059,1,0
2/23/2020,6067,1,0
2/23/2020,6073,1,0
2/23/2020,6075,2,0
2/23/2020,6085,2,0
2/23/2020,17031,2,0
2/23/2020,25025,1,0
2/23/2020,31055,11,0
2/23/2020,48029,4,0
2/23/2020,53061,1,0
2/23/2020,55025,1,0
2/24/2020,4013,1,0
2/24/2020,6023,1,0
2/24/2020,6037,1,0
2/24/2020,6059,1,0
2/24/2020,6067,1,0
2/24/2020,6073,1,0
2/24/2020,6075,3,0
2/24/2020,6085,2,0
2/24/2020,6095,1,0
